,phone_Name,Rate
0,"realme C31 (Dark Green, 32 GB)","₹9,299"
1,"realme C31 (Light Silver, 32 GB)","₹9,299"
2,"realme C31 (Dark Green, 64 GB)","₹9,999"
3,"POCO C31 (Royal Blue, 64 GB)","₹8,499"
4,"realme C11 2021 (Cool Grey, 32 GB)","₹7,499"
5,"realme C31 (Light Silver, 64 GB)","₹9,999"
6,"realme C11 2021 (Cool Blue, 32 GB)","₹7,499"
7,"realme C11 2021 (Cool Blue, 64 GB)","₹8,999"
8,"realme C11 2021 (Cool Grey, 64 GB)","₹8,999"
9,"POCO C31 (Royal Blue, 32 GB)","₹7,499"
10,"POCO C31 (Shadow Gray, 64 GB)","₹8,499"
11,"MOTOROLA G60 (Moonless, 128 GB)","₹14,999"
12,"POCO M3 Pro 5G (Yellow, 64 GB)","₹10,999"
13,"realme C35 (Glowing Black, 64 GB)","₹11,999"
14,"REDMI Note 10T 5G (Mint Green, 64 GB)","₹11,999"
15,"POCO C31 (Shadow Gray, 32 GB)","₹7,499"
16,"MOTOROLA G60 (Dynamic Gray, 128 GB)","₹14,999"
17,"vivo T1 44W (Starry Sky, 128 GB)","₹15,999"
18,"vivo T1 44W (Starry Sky, 128 GB)","₹14,499"
19,"vivo T1 44W (Starry Sky, 128 GB)","₹17,999"
20,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹14,499"
21,"REDMI Note 10T 5G (Graphite Black, 64 GB)","₹11,999"
22,"REDMI Note 10T 5G (Metallic Blue, 128 GB)","₹13,999"
23,"realme C35 (Glowing Green, 64 GB)","₹11,999"
